id,eligible_address,amount,minting_start_date,minting_end_date
110,0xD28E76c49AEb730d7E12Bec12991db49586Dc295,1159533871602,1759276800,1791158400
111,0xe8f49490d2b172870b3B225e9fcD39b5D68b2e9E,1127109903805,1759276800,1791158400
112,0x1863829EBdb673c5c2A5095B046F9Ae624ca139b,1041324321474,1759276800,1791158400
113,0xC19451240Bf06a3a1Cc8cb22F224F09369D03a9E,1007926971148,1759276800,1791158400
114,0x19A3F8FE72Cd2A6Fae2985aaF62cFc7DA28863C0,989012979285,1759276800,1791158400
115,0x96af22cBc1693E2bb8FB0eBa10dC665b4E5b3092,955560820890,1759276800,1791158400
116,0x28d01ffC2628368903C86220C14aa18d69d8e467,932418566334,1759276800,1791158400
117,0xb03A37C4a492eA16bc8e1481BD98A57f6F971667,931273059593,1759276800,1791158400
118,0xa16B0cf866FE0B8AE58fDC182D31e337d181bAda,928877829709,1759276800,1791158400
119,0x367cD9Ff6237B4ddeAaDbe9E3bc33D2B7Df9aa9C,917749183646,1759276800,1791158400
120,0x6BE5396753958983b1Cddd28c519237F9138B841,913214987834,1759276800,1791158400
121,0x32440CEDaE43de3e8A4c522656Ab8f0DE30d39AB,893938796555,1759276800,1791158400
122,0x92A1Df6250BcDc7CDBfb11423DB02707e05Be007,892200060273,1759276800,1791158400
123,0xb79ae34bCae88343395187310ecC919E05CD5b3a,870799884052,1759276800,1791158400
124,0x19E42891B437edFB2cb2a0D3Df247Ed0e0d36142,850580012632,1759276800,1791158400
125,0xc766622390D06d9c67B7D57A5782b864303f6523,830068643602,1759276800,1791158400
126,0x5D419518e149CdC555758907E63Dbeb2238986df,821205012485,1759276800,1791158400
127,0x22AFd396e6abF212A9e358A3f53D59508D174e56,820889681355,1759276800,1791158400
128,0xd20d4241f3592dcc1C8715C9ff1d50fBf69e684B,819614959463,1759276800,1791158400
129,0xa2f4C3D42132D97C4AEF6FCcCa5057961D3F8A86,819614959463,1759276800,1791158400
130,0x2Da8005b6fd533C1E3dB0f86ea6085754acCE688,763307411748,1759276800,1791158400
131,0x9E518c4414e04f5989578906C7e3a154B9F04576,744816898263,1759276800,1791158400
132,0x9AF5d014F77c7A2AD158afc216b3d1D474Cb6FbF,710688131350,1759276800,1791158400
133,0x6BE826AC5E782a999e7912852B6D828B9adBeE4D,684837475529,1759276800,1791158400
134,0x2B56179D6A12baFa11325c9FF089A1037d16571b,627874235846,1759276800,1791158400
135,0xEBaBDbAfcCc7326aD9BFe1875FE2542193326589,627620155209,1759276800,1791158400
136,0x62cdbD396dB0Ca5908E6B0e9acc636E093f4Ed1d,607580569450,1759276800,1791158400
137,0x018266A46B0E1F194ba8B18a8aD47F18dFF85d6e,601417064955,1759276800,1791158400
138,0x98CED93D94BF45074f0b2B658FBD6FF3c46Be1D3,595102206416,1759276800,1791158400
139,0xFAE836f725C6533D9aa40EBb05890b506C9F94c7,592376711952,1759276800,1791158400
